NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT01371630,Inotuzumab Ozogamicin and Combination Chemotherapy in Treating Patients With Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT01371630,RECRUITING,"B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1|B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative|Burkitt-Like Lymphoma With 11q Aberration|High Grade B-Cell Lymphoma With MYC and BCL2 and/or BCL6 Rearrangements|High Grade B-Cell Lymphoma, Not Otherwise Specified|Recurrent B Acute Lymphoblastic Leukemia|Recurrent Burkitt Lymphoma|Refractory B Acute Lymphoblastic Leukemia|Refractory Burkitt Lymphoma",BIOLOGICAL: Blinatumomab|DRUG: Cyclophosphamide|DRUG: Cytarabine|DRUG: Dexamethasone|BIOLOGICAL: Inotuzumab Ozogamicin|OTHER: Laboratory Biomarker Analysis|DRUG: Mercaptopurine|DRUG: Methotrexate|DRUG: Prednisone|BIOLOGICAL: Rituximab|DRUG: Vincristine,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00068523,Ultraviolet-B Light Therapy and Allogeneic Stem Cell Transplantation in Treating Patients With Hematologic Malignancies,https://clinicaltrials.gov/study/NCT00068523,COMPLETED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Diseases,BIOLOGICAL: anti-thymocyte globulin|DRUG: cyclophosphamide|DRUG: cyclosporine|DRUG: fludarabine phosphate|DRUG: methylprednisolone|PROCEDURE: UV light therapy|PROCEDURE: allogeneic bone marrow transplantation|PROCEDURE: peripheral blood stem cell transplantation,Case Comprehensive Cancer Center,,INTERVENTIONAL
NCT00020579,MS-275 in Treating Patients With Advanced Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00020579,COMPLETED,Cancer,DRUG: entinostat,National Institutes of Health Clinical Center (CC),National Cancer Institute (NCI),INTERVENTIONAL
NCT00566696,Mismatched Family Member Donor Transplantation for Children and Young Adults With High Risk Hematological Malignancies,https://clinicaltrials.gov/study/NCT00566696,COMPLETED,"Leukemia, Acute Lymphocytic (ALL)|Leukemia, Myeloid, Acute(AML)|Leukemia, Myeloid, Chronic(CML)|Juvenile Myelomonocytic Leukemia (JMML)|Hemoglobinuria, Paroxysmal Nocturnal (PNH)|Hodgkin Lymphoma|Lymphoma, Non-Hodgkin (NHL)|Myelodysplastic Syndrome (MDS)",DEVICE: CliniMACS|PROCEDURE: Stem cell transplantation|DRUG: Fludarabine|DRUG: Thioplex®|DRUG: L-phenylalanine mustard|DRUG: Mycophenolate mofetil|DRUG: Rituxan™|DRUG: Alemtuzumab|DRUG: Cyclophosphamide|DRUG: Anti-thymocyte globulin (Rabbit)|DRUG: G-CSF|DRUG: Muromonab,St. Jude Children's Research Hospital,,INTERVENTIONAL
NCT02813252,Long-Term Follow-up Study for Patients Previously Treated With JCAR015,https://clinicaltrials.gov/study/NCT02813252,COMPLETED,Acute Lymphoblastic Leukemia,GENETIC: JCAR015,"Juno Therapeutics, a Subsidiary of Celgene",,OBSERVATIONAL
NCT00956475,Quality of Life in Younger Leukemia and Lymphoma Survivors,https://clinicaltrials.gov/study/NCT00956475,COMPLETED,Anxiety Disorder|Cancer Survivor|Fatigue|Leukemia|Long-term Effects Secondary to Cancer Therapy in Adults|Lymphoma|Lymphoproliferative Disorder|Pain|Psychosocial Effects of Cancer and Its Treatment|Small Intestine Cancer,BEHAVIORAL: telephone-based intervention|OTHER: questionnaire administration|PROCEDURE: assessment of therapy complications|PROCEDURE: fatigue assessment and management|PROCEDURE: psychosocial assessment and care|PROCEDURE: quality-of-life assessment,Case Comprehensive Cancer Center,National Cancer Institute (NCI),OBSERVATIONAL
NCT00423826,Umbilical Cord Blood Stem Cell Transplant in Treating Patients With Hematologic Cancer or Other Disease,https://clinicaltrials.gov/study/NCT00423826,NO_LONGER_AVAILABLE,Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Precancerous Condition|Secondary Myelofibrosis,DRUG: Busulfan|DRUG: Cytarabine|DRUG: Fludarabine phosphate|DRUG: mycophenolate mofetil|DRUG: tacrolimus|PROCEDURE: allogeneic hematopoietic stem cell transplantation|PROCEDURE: umbilical cord blood transplantation|RADIATION: total-body irradiation,Barbara Ann Karmanos Cancer Institute,National Cancer Institute (NCI),EXPANDED_ACCESS
NCT00008164,Umbilical Cord Blood and Placental Blood Transplantation in Treating Patients With Hematologic Cancer or Aplastic Anemia,https://clinicaltrials.gov/study/NCT00008164,UNKNOWN,Childhood Langerhans Cell Histiocytosis|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,PROCEDURE: umbilical cord blood transplantation,Herbert Irving Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT01524926,CREATE: Cross-tumoral Phase 2 With Crizotinib,https://clinicaltrials.gov/study/NCT01524926,COMPLETED,Locally Advanced and/or Metastatic Anaplastic Large Cell Lymphoma|Locally Advanced and/or Metastatic Inflammatory Myofibroblastic Tumor|Locally Advanced and/or Metastatic Papillary Renal Cell Carcinoma Type 1|Locally Advanced and/or Metastatic Alveolar Soft Part Sarcoma|Locally Advanced and/or Metastatic Clear Cell Sarcoma|Locally Advanced and/or Metastatic Alveolar Rhabdomyosarcoma,DRUG: Crizotinib (PF-02341066),European Organisation for Research and Treatment of Cancer - EORTC,Pfizer,INTERVENTIONAL
NCT00281879,Donor Stem Cell Transplant or Donor White Blood Cell Infusions in Treating Patients With Hematologic Cancer,https://clinicaltrials.gov/study/NCT00281879,TERMINATED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms|Unusual Cancers of Childhood,BIOLOGICAL: anti-thymocyte globulin|BIOLOGICAL: filgrastim|DRUG: busulfan|DRUG: carmustine|DRUG: cyclophosphamide|DRUG: cyclosporine|DRUG: cytarabine|DRUG: etoposide|DRUG: fludarabine phosphate|DRUG: melphalan|DRUG: methotrexate|DRUG: methylprednisolone|DRUG: mycophenolate mofetil|DRUG: tacrolimus|PROCEDURE: peripheral blood stem cell transplantation|PROCEDURE: umbilical cord blood transplantation|RADIATION: radiation therapy,OHSU Knight Cancer Institute,National Cancer Institute (NCI),INTERVENTIONAL
NCT03267407,Vietnam Cryptococcal Retention in Care Study - Version 2.1,https://clinicaltrials.gov/study/NCT03267407,UNKNOWN,"HIV/AIDS|Cryptococcal Meningitis|Opportunistic Infections, HIV Related|Cryptococcosis|Mycosis; Opportunistic|Mycosis Fungoides",OTHER: Preemptive high-dose Fluconazole,"National Hospital for Tropical Diseases, Hanoi, Vietnam","Centers for Disease Control and Prevention|Hospital for Tropical Diseases, Ho Chi Minh City, Vietnam",OBSERVATIONAL
NCT01119066,"HLA-Compatible Related or Unrelated Donors With CD34+ Enriched, T-cell Depleted Peripheral Blood Stem Cells Isolated by the CliniMACS System in the Treatment of Patients With Hematologic Malignancies",https://clinicaltrials.gov/study/NCT01119066,COMPLETED,Acute Lymphoblastic Leukemia|Acute Myelogenous Leukemia|Myelodysplastic Syndrome|Multiple Myeloma,RADIATION: total body irradiation|DRUG: Thiotepa|DRUG: Cyclophosphamide|DRUG: Busulfan|DRUG: Melphalan|DRUG: Fludarabine|DRUG: Clofarabine|PROCEDURE: (CliniMACS) T-cell depleted PBSC Transplant,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT00016172,ZD0473 and Doxorubicin in Treating Patients With Advanced Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00016172,COMPLETED,"Lymphoma|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: pegylated liposomal doxorubicin hydrochloride|DRUG: picoplatin,Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00002673,Immunotherapy in Treating Patients Who Are Undergoing Bone Marrow or Peripheral Stem Cell Transplantation,https://clinicaltrials.gov/study/NCT00002673,COMPLETED,Cancer,PROCEDURE: infection prophylaxis and management,Fred Hutchinson Cancer Center,,INTERVENTIONAL
NCT00448201,Reduced-Intensity Busulfan and Fludarabine With or Without Antithymocyte Globulin Followed by Donor Stem Cell Transplant in Treating Patients With Hematologic Cancer or Other Disease,https://clinicaltrials.gov/study/NCT00448201,COMPLETED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes,BIOLOGICAL: anti-thymocyte globulin|BIOLOGICAL: sargramostim|BIOLOGICAL: therapeutic allogeneic lymphocytes|DRUG: busulfan|DRUG: fludarabine phosphate|DRUG: methotrexate|DRUG: tacrolimus|PROCEDURE: nonmyeloablative allogeneic hematopoietic stem cell transplantation|PROCEDURE: peripheral blood stem cell transplantation,UNC Lineberger Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00608517,Treatment of Single or Double Umbilical Cord Trans + Graft-versus-host Disease (GVHD) Prophylaxis w/ Tacrolimus & Mycophenolate Mofetil,https://clinicaltrials.gov/study/NCT00608517,TERMINATED,Graft Versus Host Disease|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes,BIOLOGICAL: anti-thymocyte globulin|DRUG: cyclophosphamide|DRUG: fludarabine phosphate|DRUG: methylprednisolone|RADIATION: total-body irradiation,Vanderbilt-Ingram Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00469820,"Vaccine Therapy With or Without Donor Lymphocyte Infusion in Treating Patients With Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, or Multiple Myeloma Undergoing Donor Stem Cell Transplant",https://clinicaltrials.gov/study/NCT00469820,TERMINATED,Leukemia|Multiple Myeloma and Plasma Cell Neoplasm,BIOLOGICAL: autologous tumor cell vaccine|BIOLOGICAL: peripheral blood lymphocyte therapy,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,National Cancer Institute (NCI),INTERVENTIONAL
NCT00005622,"Donor Bone Marrow Transplant in Treating Patients With Leukemia, Lymphoma, or Nonmalignant Hematologic Disorders",https://clinicaltrials.gov/study/NCT00005622,COMPLETED,Chronic Myeloproliferative Disorders|Leukemia|Multiple Myeloma and Malignant Plasma Cell Neoplasms|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,DRUG: cyclophosphamide|RADIATION: TBI,H. Lee Moffitt Cancer Center and Research Institute,National Cancer Institute (NCI),INTERVENTIONAL
NCT00004239,506U78 in Treating Patients With Hematologic Cancer and Kidney or Liver Impairment,https://clinicaltrials.gov/study/NCT00004239,TERMINATED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes,DRUG: Compound 506U78,Alliance for Clinical Trials in Oncology,National Cancer Institute (NCI),INTERVENTIONAL
NCT00049712,Monoclonal Antibody Therapy in Treating Patients With Refractory Advanced Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00049712,COMPLETED,"Lymphoma|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: etaracizumab,"University of Wisconsin, Madison",National Cancer Institute (NCI),INTERVENTIONAL
NCT00324597,AMG 706 and Gemcitabine in Treating Patients With Advanced Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00324597,UNKNOWN,"Lung Cancer|Lymphoma|Lymphoproliferative Disorder|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: gemcitabine hydrochloride|DRUG: motesanib diphosphate|OTHER: pharmacological study,Jonsson Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00295997,"Donor Stem Cell Transplant in Treating Patients With Hematologic Cancer, Metastatic Kidney Cancer, or Aplastic Anemia",https://clinicaltrials.gov/study/NCT00295997,UNKNOWN,Chronic Myeloproliferative Disorders|Kidney Cancer|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,BIOLOGICAL: anti-thymocyte globulin|BIOLOGICAL: filgrastim|BIOLOGICAL: graft-versus-tumor induction therapy|BIOLOGICAL: therapeutic allogeneic lymphocytes|DRUG: busulfan|DRUG: cyclophosphamide|DRUG: fludarabine phosphate|DRUG: methotrexate|DRUG: mycophenolate mofetil|DRUG: tacrolimus|PROCEDURE: allogeneic bone marrow transplantation|PROCEDURE: nonmyeloablative allogeneic hematopoietic stem cell transplantation|PROCEDURE: peripheral blood stem cell transplantation,"University of California, San Francisco",National Cancer Institute (NCI),INTERVENTIONAL
NCT00053989,NMA Allogeneic Hematopoietic Cell Transplant in Hematologic Cancer/Disorders,https://clinicaltrials.gov/study/NCT00053989,COMPLETED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Diseases|Fanconi Anemia|Aplastic Anemia,BIOLOGICAL: anti-thymocyte globulin|BIOLOGICAL: graft-versus-tumor induction therapy|BIOLOGICAL: sargramostim|BIOLOGICAL: therapeutic allogeneic lymphocytes|DRUG: cyclophosphamide|DRUG: fludarabine phosphate|DRUG: methylprednisolone|DRUG: mycophenolate mofetil|DRUG: tacrolimus|PROCEDURE: allogeneic bone marrow transplantation|PROCEDURE: peripheral blood stem cell transplantation|PROCEDURE: umbilical cord blood transplantation,Roswell Park Cancer Institute,,INTERVENTIONAL
NCT00382109,Tacrolimus and Methotrexate With or Without Sirolimus in Preventing Graft-Versus-Host Disease in Young Patients Undergoing Donor Stem Cell Transplant for Acute Lymphoblastic Leukemia in Complete Remission,https://clinicaltrials.gov/study/NCT00382109,COMPLETED,B-cell Childhood Acute Lymphoblastic Leukemia|Childhood Acute Lymphoblastic Leukemia in Remission|Graft Versus Host Disease|L1 Childhood Acute Lymphoblastic Leukemia|L2 Childhood Acute Lymphoblastic Leukemia|T-cell Childhood Acute Lymphoblastic Leukemia,DRUG: thiotepa|DRUG: cyclophosphamide|DRUG: tacrolimus|DRUG: methotrexate|DRUG: sirolimus|RADIATION: total body irradiation,Children's Oncology Group,National Cancer Institute (NCI),INTERVENTIONAL
NCT00560794,Phase II Study of the BiTE® Blinatumomab (MT103) in Patients With Minimal Residual Disease of B-precursor Acute Lymphoblastic Leukemia (ALL),https://clinicaltrials.gov/study/NCT00560794,COMPLETED,Acute Lymphoblastic Leukemia,BIOLOGICAL: Blinatumomab (MT103),Amgen Research (Munich) GmbH,,INTERVENTIONAL
NCT00611351,"Busulfan, Cyclophosphamide, & Antithymocyte Globulin Followed by Stem Cell Transplant in Treating Hematologic Cancer",https://clinicaltrials.gov/study/NCT00611351,COMPLETED,Graft Versus Host Disease|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Diseases|Secondary Myelofibrosis,BIOLOGICAL: anti-thymocyte globulin|DRUG: busulfan|DRUG: cyclophosphamide|DRUG: mycophenolate mofetil|DRUG: tacrolimus|GENETIC: polymerase chain reaction|GENETIC: polymorphism analysis|OTHER: flow cytometry|OTHER: laboratory biomarker analysis|OTHER: pharmacogenomic studies|OTHER: pharmacological study|PROCEDURE: allogeneic bone marrow transplantation|PROCEDURE: allogeneic hematopoietic stem cell transplantation|PROCEDURE: peripheral blood stem cell transplantation,University of Nebraska,National Cancer Institute (NCI),INTERVENTIONAL
NCT00005021,Combination Chemotherapy With or Without Biological Therapy in Treating Patients With Refractory Solid Tumor or Lymphoma,https://clinicaltrials.gov/study/NCT00005021,COMPLETED,"Lymphoma|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: filgrastim|DRUG: carboplatin|DRUG: paclitaxel|DRUG: topotecan hydrochloride,Fox Chase Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00002759,Irinotecan Plus Cyclosporine and Phenobarbital in Treating Patients With Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00002759,COMPLETED,"Drug/Agent Toxicity by Tissue/Organ|Lymphoma|Neutropenia|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: cyclosporine|DRUG: irinotecan hydrochloride|DRUG: phenobarbital,National Cancer Institute (NCI),,INTERVENTIONAL
NCT01564277,Rasburicase and Allopurinol in Treating Patients With Hematologic Malignancies,https://clinicaltrials.gov/study/NCT01564277,TERMINATED,Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities|Adult Acute Myeloid Leukemia With Del(5q)|Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)|Adult Acute Myeloid Leukemia With t(15;17)(q22;q12)|Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)|Adult Acute Myeloid Leukemia With t(8;21)(q22;q22)|Blastic Phase Chronic Myelogenous Leukemia|Contiguous Stage II Adult Burkitt Lymphoma|de Novo Myelodysplastic Syndromes|Noncontiguous Stage II Adult Burkitt Lymphoma|Previously Treated Myelodysplastic Syndromes|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Acute Myeloid Leukemia|Recurrent Adult Burkitt Lymphoma|Stage I Adult Burkitt Lymphoma|Stage III Adult Burkitt Lymphoma|Stage IV Adult Burkitt Lymphoma|Untreated Adult Acute Lymphoblastic Leukemia|Untreated Adult Acute Myeloid Leukemia,DRUG: rasburicase|DRUG: allopurinol,Roswell Park Cancer Institute,National Cancer Institute (NCI),INTERVENTIONAL
NCT00800150,"Total Marrow and Total Lymph Node Irradiation, Fludarabine, and Melphalan Followed By Donor Stem Cell Transplant in Treating Patients With Advanced Hematological Cancer That Has Not Responded to Treatment",https://clinicaltrials.gov/study/NCT00800150,TERMINATED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,DRUG: fludarabine phosphate|DRUG: melphalan|PROCEDURE: nonmyeloablative allogeneic hematopoietic stem cell transplantation|RADIATION: intensity-modulated radiation therapy|RADIATION: tomotherapy|RADIATION: total marrow irradiation|RADIATION: total nodal irradiation,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00042822,"FR901228 in Treating Patients With Myelodysplastic Syndrome, Acute Myeloid Leukemia, or Non-Hodgkin's Lymphoma",https://clinicaltrials.gov/study/NCT00042822,COMPLETED,Leukemia|Lymphoma|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,DRUG: romidepsin,Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00003294,Chemotherapy Given With Amifostine and Filgrastim in Treating Patients With Recurrent or Metastatic Cancer,https://clinicaltrials.gov/study/NCT00003294,COMPLETED,"Leukemia|Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: filgrastim|DRUG: amifostine trihydrate|DRUG: carboplatin|DRUG: paclitaxel,Roswell Park Cancer Institute,National Cancer Institute (NCI),INTERVENTIONAL
NCT01190930,Risk-Adapted Chemotherapy in Treating Younger Patients With Newly Diagnosed Standard-Risk Acute Lymphoblastic Leukemia or Localized B-Lineage Lymphoblastic Lymphoma,https://clinicaltrials.gov/study/NCT01190930,ACTIVE_NOT_RECRUITING,Acute Lymphoblastic Leukemia|Adult B Lymphoblastic Lymphoma|Ann Arbor Stage I B Lymphoblastic Lymphoma|Ann Arbor Stage II B Lymphoblastic Lymphoma|Childhood B Acute Lymphoblastic Leukemia|Childhood B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1|Childhood B Lymphoblastic Lymphoma|Down Syndrome|Hypodiploid B Acute Lymphoblastic Leukemia|Philadelphia Chromosome Positive,DRUG: Cyclophosphamide|DRUG: Cytarabine|DRUG: Dexamethasone|DRUG: Doxorubicin Hydrochloride|OTHER: Laboratory Biomarker Analysis|DRUG: Leucovorin Calcium|DRUG: Mercaptopurine|DRUG: Methotrexate|DRUG: Pegaspargase|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration|DRUG: Thioguanine|DRUG: Vincristine Sulfate,Children's Oncology Group,National Cancer Institute (NCI),INTERVENTIONAL
